corridor_id,interstate,direction_code,direction_label,edges,exits,poi_links
1,I-35E,north,North,102,92,737
2,I-35E,south,South,92,83,642
3,I-35E,north,North,34,34,225
4,I-35E,south,South,36,35,176
5,I-35W,north,North,66,62,330
6,I-35W,south,South,60,59,270
7,I-35W,north,North,46,44,267
8,I-35W,south,South,46,44,292
9,I-69C,north,North,24,15,47
10,I-69C,south,South,24,16,37
11,I-69E,north,North,59,47,150
12,I-69E,south,South,55,46,139
13,I-2,east,East,43,43,189
14,I-2,west,West,44,41,163
15,I-4,east,East,73,68,486
16,I-4,west,West,70,64,491
17,I-5,north,North,763,675,5333
18,I-5,south,South,742,656,4978
19,I-8,east,East,105,101,529
20,I-8,west,West,104,100,504
21,I-10,east,East,924,876,5068
22,I-10,west,West,918,872,5014
23,I-11,north,North,42,39,287
24,I-11,south,South,35,33,226
25,I-12,east,East,33,30,195
26,I-12,west,West,32,32,198
27,I-15,north,North,430,402,1900
28,I-15,south,South,448,404,2010
29,I-16,east,East,46,41,111
30,I-16,west,West,41,36,70
31,I-17,north,North,73,67,309
32,I-17,south,South,69,63,314
33,I-19,north,North,26,25,59
34,I-19,south,South,26,25,69
35,I-20,east,East,619,608,2646
36,I-20,west,West,624,609,2509
37,I-22,east,East,55,55,86
38,I-22,west,West,56,55,84
39,I-24,east,East,105,98,546
40,I-24,west,West,98,92,551
41,I-25,north,North,343,308,1478
42,I-25,south,South,347,314,1509
43,I-26,east,East,145,134,859
44,I-26,west,West,144,138,867
45,I-27,north,North,69,69,165
46,I-27,south,South,79,77,208
47,I-29,north,North,224,211,605
48,I-29,south,South,224,213,569
49,I-30,east,East,190,183,1095
50,I-30,west,West,195,184,1082
51,I-35,north,North,637,608,3129
52,I-35,south,South,646,607,3261
53,I-37,north,North,68,60,216
54,I-37,south,South,69,65,275
55,I-39,north,North,92,87,154
56,I-39,south,South,92,88,129
57,I-40,east,East,813,783,3372
58,I-40,west,West,1426,786,3229
59,I-43,north,North,88,75,290
60,I-43,south,South,77,74,293
61,I-44,east,East,228,217,1099
62,I-44,west,West,230,221,1066
63,I-45,north,North,167,162,983
64,I-45,south,South,173,163,1066
65,I-49,north,North,183,176,436
66,I-49,south,South,182,178,386
67,I-55,north,North,325,313,1196
68,I-55,south,South,323,306,1089
69,I-57,north,North,135,129,463
70,I-57,south,South,133,128,377
71,I-59,north,North,134,129,886
72,I-59,south,South,132,125,800
73,I-64,east,East,337,312,1404
74,I-64,west,West,338,319,1462
75,I-65,north,North,279,268,1772
76,I-65,south,South,276,267,1724
77,I-66,east,East,35,30,309
78,I-66,west,West,31,29,202
79,I-68,east,East,40,37,145
80,I-68,west,West,40,36,151
81,I-69,east,East,42,42,87
82,I-69,north,North,272,216,1215
83,I-69,south,South,73,61,196
84,I-69,west,West,58,41,86
85,I-69,south,South,72,59,470
86,I-70,east,East,711,674,3150
87,I-70,west,West,742,664,3159
88,I-71,north,North,122,111,679
89,I-71,south,South,119,112,677
90,I-72,east,East,48,44,110
91,I-72,west,West,48,45,128
92,I-73,north,North,55,53,11
93,I-73,south,South,53,53,10
94,I-74,east,East,201,186,664
95,I-74,west,West,205,188,684
96,I-75,north,North,636,601,4169
97,I-75,south,South,663,605,4338
98,I-76,east,East,102,90,584
99,I-76,west,West,102,93,570
100,I-76,east,East,44,44,125
101,I-76,west,West,47,46,90
102,I-77,north,North,242,222,1198
103,I-77,south,South,237,220,1222
104,I-78,east,East,36,25,75
105,I-78,east,East,26,24,119
106,I-78,west,West,29,27,113
107,I-78,west,West,40,23,83
108,I-79,north,North,101,98,424
109,I-79,south,South,98,93,373
110,I-80,east,East,847,789,3152
111,I-80,west,West,843,781,3370
112,I-81,north,North,304,288,1643
113,I-81,south,South,327,288,1616
114,I-82,north,North,56,39,94
115,I-82,south,South,55,39,110
116,I-83,north,North,58,54,440
117,I-83,south,South,61,54,430
118,I-84,east,East,117,112,526
119,I-84,west,West,119,111,536
120,I-84,east,East,210,208,854
121,I-84,west,West,203,191,719
122,I-85,north,North,305,291,2287
123,I-85,south,South,296,285,2307
124,I-86,east,East,13,14,24
125,I-86,west,West,14,13,20
126,I-86,east,East,85,80,158
127,I-86,west,West,81,78,185
128,I-87,north,North,111,100,623
129,I-87,south,South,105,97,616
130,I-88,east,East,42,30,104
131,I-88,west,West,43,35,109
132,I-88,east,East,27,28,54
133,I-88,west,West,29,26,48
134,I-89,north,North,54,48,156
135,I-89,south,South,54,46,140
136,I-90,east,East,861,778,3230
137,I-90,west,West,853,777,3172
138,I-91,north,North,111,103,494
139,I-91,south,South,118,107,553
140,I-93,north,North,107,97,559
141,I-93,south,South,108,94,580
142,I-94,east,East,586,562,3455
143,I-94,west,West,617,568,3686
144,I-95,north,North,1016,824,5406
145,I-95,south,South,973,805,4920
146,I-96,east,East,104,92,510
147,I-96,west,West,104,85,463
148,I-99,north,North,45,43,84
149,I-99,south,South,50,47,105
150,I-135,north,North,47,46,157
151,I-135,south,South,46,45,126
152,I-155,north,North,10,10,3
153,I-155,south,South,12,10,5
154,I-165,north,North,11,11,3
155,I-165,south,South,12,11,4
156,I-169,north,North,12,12,31
157,I-169,north,North,12,9,18
158,I-185,north,North,18,15,70
159,I-185,south,South,16,17,64
160,I-195,east,East,21,20,54
161,I-195,west,West,19,19,37
162,I-195,east,East,30,30,110
163,I-195,west,West,29,25,111
164,I-196,east,East,20,20,136
165,I-196,north,North,14,15,40
166,I-196,south,South,14,12,21
167,I-196,west,West,20,17,147
168,I-205,north,North,28,27,282
169,I-205,south,South,27,25,265
170,I-210,east,East,45,45,344
171,I-210,west,West,47,44,385
172,I-215,north,North,45,42,239
173,I-215,south,South,48,44,283
174,I-269,north,North,18,17,1
175,I-269,south,South,19,16,2
176,I-270,north,North,20,17,114
177,I-270,south,South,61,19,119
178,I-270,north,North,38,28,256
179,I-270,south,South,21,14,150
180,I-271,north,North,24,16,76
181,I-271,south,South,26,21,115
182,I-275,north,North,20,18,37
183,I-275,south,South,22,17,29
184,I-275,north,North,35,31,215
185,I-275,south,South,43,35,239
186,I-275,east,East,36,33,184
187,I-275,west,West,41,37,184
188,I-278,east,East,53,45,624
189,I-278,west,West,47,42,526
190,I-280,north,North,50,38,286
191,I-280,south,South,50,38,315
192,I-285,north,North,35,32,205
193,I-285,south,South,25,22,107
194,I-285,west,West,21,17,95
195,I-287,north,North,54,46,240
196,I-287,south,South,49,36,196
197,I-294,north,North,34,25,89
198,I-294,south,South,48,26,106
199,I-295,north,North,68,60,211
200,I-295,south,South,68,60,191
201,I-295,north,North,45,36,141
202,I-295,south,South,43,34,125
203,I-295,south,South,32,30,68
204,I-295,north,North,31,31,80
205,I-295,north,North,22,21,113
206,I-295,south,South,25,24,156
207,I-295,north,North,14,14,4
208,I-295,south,South,15,14,9
209,I-335,north,North,4,3,0
210,I-335,south,South,3,3,0
211,I-344,north,North,48,3,11
212,I-355,north,North,21,17,66
213,I-355,south,South,20,19,66
214,I-376,east,East,46,44,238
215,I-376,west,West,47,46,280
216,I-380,north,North,34,31,189
217,I-380,south,South,34,29,165
218,I-385,north,North,24,24,124
219,I-385,south,South,24,24,161
220,I-390,north,North,25,24,82
221,I-390,south,South,26,24,90
222,I-395,north,North,36,35,90
223,I-395,south,South,35,34,102
224,I-405,north,North,78,71,724
225,I-405,south,South,86,76,798
226,I-435,north,North,67,62,185
227,I-435,south,South,66,64,169
228,I-459,north,North,14,13,106
229,I-459,south,South,14,13,113
230,I-476,north,North,24,22,121
231,I-476,south,South,23,18,64
232,I-480,east,East,24,23,128
233,I-480,west,West,30,26,169
234,I-485,north,North,78,69,277
235,I-490,west,West,30,27,135
236,I-490,east,East,31,28,141
237,I-495,north,North,65,38,94
238,I-495,south,South,62,35,98
239,I-495,east,East,62,58,311
240,I-495,west,West,56,53,318
241,I-495,north,North,69,67,282
242,I-495,south,South,68,63,249
243,I-505,south,South,12,9,24
244,I-505,north,North,12,8,5
245,I-530,north,North,22,22,28
246,I-530,south,South,23,23,21
247,I-555,north,North,45,38,77
248,I-575,south,South,18,14,78
249,I-580,north,North,19,18,149
250,I-580,south,South,22,20,177
251,I-580,east,East,66,57,593
252,I-580,west,West,64,60,542
253,I-587,east,East,27,27,20
254,I-587,west,West,25,22,10
255,I-610,north,North,115,105,723
256,I-635,north,North,97,84,711
257,I-680,north,North,63,52,450
258,I-680,south,South,62,49,470
259,I-840,east,East,24,23,7
260,I-840,west,West,22,21,3
261,I-880,north,North,64,47,622
262,I-880,south,South,62,41,529
